name,quantity,price,day,bread,hotcake,milk_or_sour_milk,cheese_cottage_cheese,others,week_day_0,week_day_1,week_day_2,week_day_3,week_day_4
"Ацидофилин 2,7% 200г.ВМК БЗМЖ",4.0,2.46,2,0,0,1,0,0,1,0,0,0,0
Батон ГОРЧИЧНЫЙ 300 г. Хлебозавод №1 +,21.0,3.88,2,1,0,0,0,0,1,0,0,0,0
Батон Луковый 300г.Орион,2.0,5.96,2,1,0,0,0,0,1,0,0,0,0
Батон НАРЕЗНОЙ 400 г. Хлебозавод №1 +,41.0,4.7,2,1,0,0,0,0,1,0,0,0,0
Батон Нарезной 400г.Переславский х-д.,5.0,7.7,2,1,0,0,0,0,1,0,0,0,0
Батон НАРЕЗНОЙ НАРЕЗКА 400 г. Хлебозавод №1 +,17.0,5.29,2,1,0,0,0,0,1,0,0,0,0
"Батон Нарезной новый в нарезке в/с 0,2 кг",3.0,4.74,2,1,0,0,0,0,1,0,0,0,0
Батон Подмосковный Новый 370г.Переславский х-д.,5.0,6.48,2,1,0,0,0,0,1,0,0,0,0
Батон СОЛНЕЧНЫЙ  в/с 300г.Хлебозавод №1,17.0,4.37,2,1,0,0,0,0,1,0,0,0,0
Батон Творожный 300г.Переславский х-д.,5.0,6.5,2,1,0,0,0,0,1,0,0,0,0
Батончик к чаю  в/с 200г.Хлебозавод №1,9.0,3.95,2,1,0,0,0,0,1,0,0,0,0
Батончик к чаю 300г.Орион,3.0,5.99,2,1,0,0,0,0,1,0,0,0,0
Беляш 100гр. Орион,10.0,11.99,2,0,1,0,0,0,1,0,0,0,0
"Бифидок 3,2% 500 г.Ярмолпрод БЗМЖ",2.0,6.61,2,0,0,1,0,0,1,0,0,0,0
Булка Городская  в/с 200г.Хлебозавод №1,9.0,2.96,2,1,0,0,0,0,1,0,0,0,0
Булочка в Дорогу 200г.Переславский х-д.,4.0,4.48,2,1,0,0,0,0,1,0,0,0,0
"Булочка Веснушечка 4 шт/0,05 Переславль",2.0,7.3,2,1,0,0,0,0,1,0,0,0,0
Булочки для Гамбургеров 150г.Переславский х-д.,2.0,6.6,2,1,0,0,0,0,1,0,0,0,0
Ватрушка Венгерская 90г.Орион,5.0,7.95,2,0,1,0,0,0,1,0,0,0,0
Ватрушка с творогом 75г.Орион,7.0,5.97,2,0,1,0,0,0,1,0,0,0,0
"Йогурт Активиа натуральный клубника 2,9 % 150г.  БЗМЖ",1.0,9.64,2,0,0,1,0,0,1,0,0,0,0
"Йогурт Даниссимо Фантазия с хруст. шариками и ягодным вкусом 6,9% БЗМЖ105г. +",1.0,14.89,2,0,0,1,0,0,1,0,0,0,0
