price,bread,hotcake,milk_or_sour_milk,cheese_cottage_cheese,others,week_day_0,week_day_1,week_day_2,week_day_3,week_day_4
2.46,0,0,1,0,0,1,0,0,0,0
3.88,1,0,0,0,0,1,0,0,0,0
5.96,1,0,0,0,0,1,0,0,0,0
4.7,1,0,0,0,0,1,0,0,0,0
7.7,1,0,0,0,0,1,0,0,0,0
5.29,1,0,0,0,0,1,0,0,0,0
4.74,1,0,0,0,0,1,0,0,0,0
6.48,1,0,0,0,0,1,0,0,0,0
4.37,1,0,0,0,0,1,0,0,0,0
6.5,1,0,0,0,0,1,0,0,0,0
3.95,1,0,0,0,0,1,0,0,0,0
5.99,1,0,0,0,0,1,0,0,0,0
11.99,0,1,0,0,0,1,0,0,0,0
6.61,0,0,1,0,0,1,0,0,0,0
2.96,1,0,0,0,0,1,0,0,0,0
4.48,1,0,0,0,0,1,0,0,0,0
7.3,1,0,0,0,0,1,0,0,0,0
6.6,1,0,0,0,0,1,0,0,0,0
7.95,0,1,0,0,0,1,0,0,0,0
5.97,0,1,0,0,0,1,0,0,0,0
9.64,0,0,1,0,0,1,0,0,0,0
14.89,0,0,1,0,0,1,0,0,0,0
8.32,0,0,1,0,0,1,0,0,0,0
8.34,0,0,1,0,0,1,0,0,0,0
8.34,0,0,1,0,0,1,0,0,0,0
7.39,0,0,1,0,0,1,0,0,0,0
8.88,0,0,1,0,0,1,0,0,0,0
5.24,0,0,1,0,0,1,0,0,0,0
8.36,0,0,1,0,0,1,0,0,0,0
13.6,0,0,1,0,0,1,0,0,0,0
6.16,0,0,1,0,0,1,0,0,0,0
7.49,0,0,1,0,0,1,0,0,0,0
9.16,0,0,1,0,0,1,0,0,0,0
5.87,0,0,1,0,0,1,0,0,0,0
6.38,0,0,1,0,0,1,0,0,0,0
8.37,0,0,1,0,0,1,0,0,0,0
8.35,0,0,1,0,0,1,0,0,0,0
8.36,0,0,1,0,0,1,0,0,0,0
8.37,0,0,1,0,0,1,0,0,0,0
8.36,0,0,1,0,0,1,0,0,0,0
8.37,0,0,1,0,0,1,0,0,0,0
9.0,0,1,0,0,0,1,0,0,0,0
8.89,1,0,0,0,0,1,0,0,0,0
9.28,0,0,0,0,1,1,0,0,0,0
7.73,0,0,0,0,1,1,0,0,0,0
17.1,0,0,0,0,1,1,0,0,0,0
9.36,0,0,0,0,1,1,0,0,0,0
18.0,0,0,0,0,1,1,0,0,0,0
24.98,0,0,0,0,1,1,0,0,0,0
18.04,0,0,0,0,1,1,0,0,0,0
10.72,0,0,0,0,1,1,0,0,0,0
7.97,0,0,0,0,1,1,0,0,0,0
19.85,0,0,0,0,1,1,0,0,0,0
22.93,0,0,0,0,1,1,0,0,0,0
35.95,0,0,0,0,1,1,0,0,0,0
22.93,0,0,0,0,1,1,0,0,0,0
28.89,0,0,0,0,1,1,0,0,0,0
28.87,0,0,0,0,1,1,0,0,0,0
25.91,0,0,0,0,1,1,0,0,0,0
5.75,0,0,1,0,0,1,0,0,0,0
9.49,0,0,1,0,0,1,0,0,0,0
8.97,0,0,1,0,0,1,0,0,0,0
6.62,0,0,1,0,0,1,0,0,0,0
9.62,0,0,1,0,0,1,0,0,0,0
11.59,0,0,1,0,0,1,0,0,0,0
8.75,0,0,1,0,0,1,0,0,0,0
6.97,0,0,1,0,0,1,0,0,0,0
4.86,0,0,1,0,0,1,0,0,0,0
25.38,0,0,1,0,0,1,0,0,0,0
3.59,0,0,1,0,0,1,0,0,0,0
17.75,0,0,1,0,0,1,0,0,0,0
7.42,0,0,1,0,0,1,0,0,0,0
4.14,0,0,1,0,0,1,0,0,0,0
6.52,0,0,1,0,0,1,0,0,0,0
6.32,0,0,1,0,0,1,0,0,0,0
6.26,0,0,1,0,0,1,0,0,0,0
10.49,0,0,1,0,0,1,0,0,0,0
10.49,0,0,1,0,0,1,0,0,0,0
8.24,0,0,1,0,0,1,0,0,0,0
6.62,0,0,1,0,0,1,0,0,0,0
5.26,0,0,0,1,0,1,0,0,0,0
4.91,1,0,0,0,0,1,0,0,0,0
17.99,1,0,0,0,0,1,0,0,0,0
8.95,0,1,0,0,0,1,0,0,0,0
5.93,0,1,0,0,0,1,0,0,0,0
5.99,0,1,0,0,0,1,0,0,0,0
12.95,0,1,0,0,0,1,0,0,0,0
5.94,0,1,0,0,0,1,0,0,0,0
5.99,0,1,0,0,0,1,0,0,0,0
5.98,0,1,0,0,0,1,0,0,0,0
6.0,0,1,0,0,0,1,0,0,0,0
6.0,0,1,0,0,0,1,0,0,0,0
6.97,0,1,0,0,0,1,0,0,0,0
6.99,0,1,0,0,0,1,0,0,0,0
6.0,0,1,0,0,0,1,0,0,0,0
8.98,0,1,0,0,0,1,0,0,0,0
16.82,0,0,0,1,0,1,0,0,0,0
29.75,0,0,0,1,0,1,0,0,0,0
6.89,1,0,0,0,0,1,0,0,0,0
5.95,0,1,0,0,0,1,0,0,0,0
8.95,0,1,0,0,0,1,0,0,0,0
7.14,0,0,0,1,0,1,0,0,0,0
5.32,0,0,1,0,0,1,0,0,0,0
8.0,0,1,0,0,0,1,0,0,0,0
6.4,0,0,1,0,0,1,0,0,0,0
15.79,0,0,0,0,1,1,0,0,0,0
10.18,0,0,1,0,0,1,0,0,0,0
10.12,0,0,1,0,0,1,0,0,0,0
8.0,0,1,0,0,0,1,0,0,0,0
7.98,0,1,0,0,0,1,0,0,0,0
6.25,0,0,0,0,1,1,0,0,0,0
11.01,0,0,0,0,1,1,0,0,0,0
20.27,0,0,0,0,1,1,0,0,0,0
12.13,0,0,0,0,1,1,0,0,0,0
9.35,0,0,0,0,1,1,0,0,0,0
13.6,0,0,0,0,1,1,0,0,0,0
21.27,0,0,0,0,1,1,0,0,0,0
7.09,0,0,1,0,0,1,0,0,0,0
8.99,0,1,0,0,0,1,0,0,0,0
5.02,0,0,0,0,1,1,0,0,0,0
103.84,0,0,0,1,0,1,0,0,0,0
169.68,0,0,0,1,0,1,0,0,0,0
30.18,0,0,0,1,0,1,0,0,0,0
163.37,0,0,0,1,0,1,0,0,0,0
89.85,0,0,0,1,0,1,0,0,0,0
89.26,0,0,0,1,0,1,0,0,0,0
109.02,0,0,0,1,0,1,0,0,0,0
7.96,0,0,0,1,0,1,0,0,0,0
7.08,0,0,0,1,0,1,0,0,0,0
9.09,0,0,0,1,0,1,0,0,0,0
57.95,0,0,0,1,0,1,0,0,0,0
133.68,0,0,0,1,0,1,0,0,0,0
133.79,0,0,0,1,0,1,0,0,0,0
149.93,0,0,0,1,0,1,0,0,0,0
144.8,0,0,0,1,0,1,0,0,0,0
19.32,0,0,0,1,0,1,0,0,0,0
129.49,0,0,0,1,0,1,0,0,0,0
18.67,0,0,0,1,0,1,0,0,0,0
26.14,0,0,0,1,0,1,0,0,0,0
17.21,0,0,0,1,0,1,0,0,0,0
18.67,0,0,0,1,0,1,0,0,0,0
37.87,0,0,0,1,0,1,0,0,0,0
3.72,0,0,0,1,0,1,0,0,0,0
14.32,0,0,0,1,0,1,0,0,0,0
17.21,0,0,0,1,0,1,0,0,0,0
17.93,0,0,0,1,0,1,0,0,0,0
24.2,0,0,0,1,0,1,0,0,0,0
4.37,0,0,0,1,0,1,0,0,0,0
11.39,0,0,0,1,0,1,0,0,0,0
9.0,0,1,0,0,0,1,0,0,0,0
3.85,1,0,0,0,0,1,0,0,0,0
6.61,1,0,0,0,0,1,0,0,0,0
8.0,1,0,0,0,0,1,0,0,0,0
3.78,1,0,0,0,0,1,0,0,0,0
5.98,1,0,0,0,0,1,0,0,0,0
4.21,1,0,0,0,0,1,0,0,0,0
6.7,1,0,0,0,0,1,0,0,0,0
4.3,1,0,0,0,0,1,0,0,0,0
7.4,1,0,0,0,0,1,0,0,0,0
4.92,1,0,0,0,0,1,0,0,0,0
4.18,1,0,0,0,0,1,0,0,0,0
5.3,1,0,0,0,0,1,0,0,0,0
10.0,1,0,0,0,0,1,0,0,0,0
10.0,1,0,0,0,0,1,0,0,0,0
11.0,1,0,0,0,0,1,0,0,0,0
9.99,1,0,0,0,0,1,0,0,0,0
3.0,1,0,0,0,0,1,0,0,0,0
6.47,1,0,0,0,0,1,0,0,0,0
8.46,1,0,0,0,0,1,0,0,0,0
3.08,1,0,0,0,0,1,0,0,0,0
7.96,1,0,0,0,0,1,0,0,0,0
3.55,1,0,0,0,0,1,0,0,0,0
5.09,1,0,0,0,0,1,0,0,0,0
6.99,0,1,0,0,0,1,0,0,0,0
2.5,0,0,1,0,0,0,1,0,0,0
3.86,1,0,0,0,0,0,1,0,0,0
5.98,1,0,0,0,0,0,1,0,0,0
4.71,1,0,0,0,0,0,1,0,0,0
5.3,1,0,0,0,0,0,1,0,0,0
4.32,1,0,0,0,0,0,1,0,0,0
3.89,1,0,0,0,0,0,1,0,0,0
6.0,1,0,0,0,0,0,1,0,0,0
11.82,0,1,0,0,0,0,1,0,0,0
6.61,0,0,1,0,0,0,1,0,0,0
2.97,1,0,0,0,0,0,1,0,0,0
5.99,0,1,0,0,0,0,1,0,0,0
9.64,0,0,1,0,0,0,1,0,0,0
8.36,0,0,1,0,0,0,1,0,0,0
8.34,0,0,1,0,0,0,1,0,0,0
8.38,0,0,1,0,0,0,1,0,0,0
8.88,0,0,1,0,0,0,1,0,0,0
11.88,0,0,1,0,0,0,1,0,0,0
8.31,0,0,1,0,0,0,1,0,0,0
13.6,0,0,1,0,0,0,1,0,0,0
7.49,0,0,1,0,0,0,1,0,0,0
5.86,0,0,1,0,0,0,1,0,0,0
5.72,0,0,1,0,0,0,1,0,0,0
6.37,0,0,1,0,0,0,1,0,0,0
8.34,0,0,1,0,0,0,1,0,0,0
8.36,0,0,1,0,0,0,1,0,0,0
8.35,0,0,1,0,0,0,1,0,0,0
8.36,0,0,1,0,0,0,1,0,0,0
8.25,0,0,1,0,0,0,1,0,0,0
8.36,0,0,1,0,0,0,1,0,0,0
6.19,0,0,1,0,0,0,1,0,0,0
8.99,0,1,0,0,0,0,1,0,0,0
8.99,1,0,0,0,0,0,1,0,0,0
9.28,0,0,0,0,1,0,1,0,0,0
17.81,0,0,0,0,1,0,1,0,0,0
18.08,0,0,0,0,1,0,1,0,0,0
10.54,0,0,0,0,1,0,1,0,0,0
30.0,0,0,0,0,1,0,1,0,0,0
19.79,0,0,0,0,1,0,1,0,0,0
23.25,0,0,0,0,1,0,1,0,0,0
29.0,0,0,0,0,1,0,1,0,0,0
16.75,0,0,0,0,1,0,1,0,0,0
29.79,0,0,0,0,1,0,1,0,0,0
9.44,0,0,1,0,0,0,1,0,0,0
8.95,0,0,1,0,0,0,1,0,0,0
6.57,0,0,1,0,0,0,1,0,0,0
9.63,0,0,1,0,0,0,1,0,0,0
8.73,0,0,1,0,0,0,1,0,0,0
6.97,0,0,1,0,0,0,1,0,0,0
4.85,0,0,1,0,0,0,1,0,0,0
20.49,0,0,1,0,0,0,1,0,0,0
7.43,0,0,1,0,0,0,1,0,0,0
10.77,0,0,1,0,0,0,1,0,0,0
6.61,0,0,1,0,0,0,1,0,0,0
6.28,0,0,1,0,0,0,1,0,0,0
6.31,0,0,1,0,0,0,1,0,0,0
4.87,1,0,0,0,0,0,1,0,0,0
17.94,1,0,0,0,0,0,1,0,0,0
5.98,0,1,0,0,0,0,1,0,0,0
12.98,0,1,0,0,0,0,1,0,0,0
5.97,0,1,0,0,0,0,1,0,0,0
5.94,0,1,0,0,0,0,1,0,0,0
5.98,0,1,0,0,0,0,1,0,0,0
5.97,0,1,0,0,0,0,1,0,0,0
5.99,0,1,0,0,0,0,1,0,0,0
6.96,0,1,0,0,0,0,1,0,0,0
6.96,0,1,0,0,0,0,1,0,0,0
5.97,0,1,0,0,0,0,1,0,0,0
9.0,0,1,0,0,0,0,1,0,0,0
16.77,0,0,0,1,0,0,1,0,0,0
31.37,0,0,0,1,0,0,1,0,0,0
6.99,1,0,0,0,0,0,1,0,0,0
5.96,0,1,0,0,0,0,1,0,0,0
111.21,0,0,0,1,0,0,1,0,0,0
31.25,0,0,0,1,0,0,1,0,0,0
6.35,0,1,0,0,0,0,1,0,0,0
3.81,0,1,0,0,0,0,1,0,0,0
7.98,0,1,0,0,0,0,1,0,0,0
6.54,0,0,1,0,0,0,1,0,0,0
7.01,0,0,1,0,0,0,1,0,0,0
10.86,0,0,0,0,1,0,1,0,0,0
16.0,0,0,0,0,1,0,1,0,0,0
10.2,0,0,1,0,0,0,1,0,0,0
7.99,0,1,0,0,0,0,1,0,0,0
8.0,0,1,0,0,0,0,1,0,0,0
7.98,0,1,0,0,0,0,1,0,0,0
6.22,0,0,0,0,1,0,1,0,0,0
11.01,0,0,0,0,1,0,1,0,0,0
11.99,0,0,0,0,1,0,1,0,0,0
9.35,0,0,0,0,1,0,1,0,0,0
13.75,0,0,0,0,1,0,1,0,0,0
7.13,0,0,1,0,0,0,1,0,0,0
9.0,0,1,0,0,0,0,1,0,0,0
5.1,0,0,0,0,1,0,1,0,0,0
104.75,0,0,0,1,0,0,1,0,0,0
30.0,0,0,0,1,0,0,1,0,0,0
35.23,0,0,0,1,0,0,1,0,0,0
89.58,0,0,0,1,0,0,1,0,0,0
89.62,0,0,0,1,0,0,1,0,0,0
108.5,0,0,0,1,0,0,1,0,0,0
7.98,0,0,0,1,0,0,1,0,0,0
6.95,0,0,0,1,0,0,1,0,0,0
9.06,0,0,0,1,0,0,1,0,0,0
133.44,0,0,0,1,0,0,1,0,0,0
99.84,0,0,0,1,0,0,1,0,0,0
134.71,0,0,0,1,0,0,1,0,0,0
4.41,0,0,0,1,0,0,1,0,0,0
209.12,0,0,0,1,0,0,1,0,0,0
119.58,0,0,0,1,0,0,1,0,0,0
129.84,0,0,0,1,0,0,1,0,0,0
10.56,0,0,0,1,0,0,1,0,0,0
18.65,0,0,0,1,0,0,1,0,0,0
22.19,0,0,0,1,0,0,1,0,0,0
32.5,0,0,0,1,0,0,1,0,0,0
3.73,0,0,0,1,0,0,1,0,0,0
5.3,0,0,0,1,0,0,1,0,0,0
14.28,0,0,0,1,0,0,1,0,0,0
17.21,0,0,0,1,0,0,1,0,0,0
18.09,0,0,0,1,0,0,1,0,0,0
24.12,0,0,0,1,0,0,1,0,0,0
9.76,0,0,0,1,0,0,1,0,0,0
4.38,0,0,0,1,0,0,1,0,0,0
8.95,0,1,0,0,0,0,1,0,0,0
7.37,1,0,0,0,0,0,1,0,0,0
3.88,1,0,0,0,0,0,1,0,0,0
6.66,1,0,0,0,0,0,1,0,0,0
3.8,1,0,0,0,0,0,1,0,0,0
4.21,1,0,0,0,0,0,1,0,0,0
6.58,1,0,0,0,0,0,1,0,0,0
4.95,1,0,0,0,0,0,1,0,0,0
4.16,1,0,0,0,0,0,1,0,0,0
5.24,1,0,0,0,0,0,1,0,0,0
11.0,1,0,0,0,0,0,1,0,0,0
9.98,1,0,0,0,0,0,1,0,0,0
10.99,1,0,0,0,0,0,1,0,0,0
9.98,1,0,0,0,0,0,1,0,0,0
2.98,1,0,0,0,0,0,1,0,0,0
6.48,1,0,0,0,0,0,1,0,0,0
7.08,1,0,0,0,0,0,1,0,0,0
8.2,1,0,0,0,0,0,1,0,0,0
3.07,1,0,0,0,0,0,1,0,0,0
3.57,1,0,0,0,0,0,1,0,0,0
5.06,1,0,0,0,0,0,1,0,0,0
7.0,0,1,0,0,0,0,1,0,0,0
3.87,1,0,0,0,0,0,0,0,1,0
5.98,1,0,0,0,0,0,0,0,1,0
4.7,1,0,0,0,0,0,0,0,1,0
7.68,1,0,0,0,0,0,0,0,1,0
5.31,1,0,0,0,0,0,0,0,1,0
4.78,1,0,0,0,0,0,0,0,1,0
6.46,1,0,0,0,0,0,0,0,1,0
4.34,1,0,0,0,0,0,0,0,1,0
6.5,1,0,0,0,0,0,0,0,1,0
5.99,1,0,0,0,0,0,0,0,1,0
12.0,0,1,0,0,0,0,0,0,1,0
6.58,0,0,1,0,0,0,0,0,1,0
2.96,1,0,0,0,0,0,0,0,1,0
5.94,1,0,0,0,0,0,0,0,1,0
4.44,1,0,0,0,0,0,0,0,1,0
7.5,1,0,0,0,0,0,0,0,1,0
8.0,0,1,0,0,0,0,0,0,1,0
9.57,0,0,1,0,0,0,0,0,1,0
8.31,0,0,1,0,0,0,0,0,1,0
8.38,0,0,1,0,0,0,0,0,1,0
6.4,0,0,1,0,0,0,0,0,1,0
7.33,0,0,1,0,0,0,0,0,1,0
8.36,0,0,1,0,0,0,0,0,1,0
7.5,0,0,1,0,0,0,0,0,1,0
9.04,0,0,1,0,0,0,0,0,1,0
5.69,0,0,1,0,0,0,0,0,1,0
6.38,0,0,1,0,0,0,0,0,1,0
8.37,0,0,1,0,0,0,0,0,1,0
8.36,0,0,1,0,0,0,0,0,1,0
8.37,0,0,1,0,0,0,0,0,1,0
8.3,0,0,1,0,0,0,0,0,1,0
8.36,0,0,1,0,0,0,0,0,1,0
8.37,0,0,1,0,0,0,0,0,1,0
7.2,0,0,1,0,0,0,0,0,1,0
8.97,0,1,0,0,0,0,0,0,1,0
8.96,1,0,0,0,0,0,0,0,1,0
7.78,0,0,0,0,1,0,0,0,1,0
8.1,0,0,0,0,1,0,0,0,1,0
15.64,0,0,0,0,1,0,0,0,1,0
24.84,0,0,0,0,1,0,0,0,1,0
25.0,0,0,0,0,1,0,0,0,1,0
16.56,0,0,0,0,1,0,0,0,1,0
6.81,0,0,0,0,1,0,0,0,1,0
29.86,0,0,0,0,1,0,0,0,1,0
23.25,0,0,0,0,1,0,0,0,1,0
30.83,0,0,0,0,1,0,0,0,1,0
22.91,0,0,0,0,1,0,0,0,1,0
28.9,0,0,0,0,1,0,0,0,1,0
19.15,0,0,0,0,1,0,0,0,1,0
46.54,0,0,0,0,1,0,0,0,1,0
28.1,0,0,0,1,0,0,0,0,1,0
4.96,0,0,1,0,0,0,0,0,1,0
8.39,0,0,1,0,0,0,0,0,1,0
7.94,0,0,1,0,0,0,0,0,1,0
5.51,0,0,1,0,0,0,0,0,1,0
9.65,0,0,1,0,0,0,0,0,1,0
8.71,0,0,1,0,0,0,0,0,1,0
7.01,0,0,1,0,0,0,0,0,1,0
4.83,0,0,1,0,0,0,0,0,1,0
14.75,0,0,1,0,0,0,0,0,1,0
7.41,0,0,1,0,0,0,0,0,1,0
21.0,0,0,1,0,0,0,0,0,1,0
10.68,0,0,1,0,0,0,0,0,1,0
5.11,0,0,1,0,0,0,0,0,1,0
6.27,0,0,1,0,0,0,0,0,1,0
10.74,0,0,1,0,0,0,0,0,1,0
17.96,1,0,0,0,0,0,0,0,1,0
